Position	L1Hs:ENCFF000AZD.bam	L1Hs:ENCFF303YPV.bam	L1PA2:ENCFF000AZD.bam	L1PA2:ENCFF303YPV.bam	L1PA3:ENCFF000AZD.bam	L1PA3:ENCFF303YPV.bam	L1PA4:ENCFF000AZD.bam	L1PA4:ENCFF303YPV.bam
1	2.253012048192771	0.6849044084147048	2.450271247739602	0.7909020130705949	1.6234158117079058	0.7032159644854031	0.9637482900136799	0.639989483798711
2	4.292168674698795	1.0715968495292272	4.556962025316456	1.1774996388625651	3.3059746529873264	1.1319741575843465	1.8372093023255813	1.074586993727138
3	5.753012048192771	1.0715968495292272	5.9538878842676315	1.2542289386380705	3.9209414604707304	1.1694002173188636	1.817373461012312	1.119981596647744
4	7.355421686746988	1.340315325557963	6.863471971066907	1.280789080868053	3.7984308992154494	1.0203525759199967	1.7941176470588236	0.9748677020654783
5	8.114457831325302	1.4812286727437634	6.84629294755877	1.4017852843601963	3.5449607724803864	1.1293477674275383	1.7715458276333789	1.059703517359726
6	8.141566265060241	1.3042677251150838	7.214285714285714	1.4431010611623918	3.8412794206397103	1.2219280204550282	1.877564979480164	1.111051510827297
7	7.876506024096385	1.3894711443437073	6.900542495479204	1.3840785228735413	4.24079662039831	1.2376863613958775	2.26265389876881	1.0783078628189908
8	6.015060240963855	1.3993023081008562	5.560578661844485	1.3457138729857885	3.9064574532287266	1.2455655318663024	2.045143638850889	1.0344016075351259
9	4.213855421686747	1.1961249237864462	4.286618444846293	1.3221048576702483	3.1460470730235364	1.1838453631813088	1.8652530779753762	1.0113322191656373
10	3.4367469879518073	1.238726633400758	3.2965641952983726	1.3103003500124784	2.815328907664454	1.2022300942789665	1.9062927496580027	1.1013772511884792
11	3.4126506024096384	1.4025793626865726	3.1509945750452077	1.4804820020786635	2.651780325890163	1.3539041258346418	1.6641586867305063	1.1951431523031741
12	2.5602409638554215	1.0421033582577806	3.0298372513562386	1.2030760721210667	2.418829209414605	1.0899519150754147	1.5164158686730507	0.984541961704296
13	2.6506024096385543	1.2354495788150415	2.921338155515371	1.1804507657770076	1.9987929993964997	1.057122038115312	1.463064295485636	0.9986812642533374
14	2.536144578313253	1.497613945672345	2.174502712477396	1.3093166410409975	1.7459263729631864	1.2344033736998674	1.5554035567715458	1.2003523690317683
15	1.6927710843373494	1.4812286727437634	1.3580470162748643	1.3260396935561718	1.5872057936028967	1.2928405546888504	1.5280437756497949	1.111051510827297
16	1.3343373493975903	1.3206529980436652	1.2667269439421338	1.4008015753887155	1.411587205793603	1.2921839571496483	1.3850889192886457	1.0954238606415145
17	1.3072289156626506	1.520553327772359	1.3842676311030742	1.4352313893905448	1.2914906457453228	1.3709756618538953	1.1518467852257182	1.1914222832113213
18	1.0391566265060241	1.3796399805865585	1.255877034358047	1.4696612033923744	1.1388050694025347	1.3322364070409738	0.9432284541723667	1.1222141181028558
19	0.8162650602409639	1.3501464893151118	0.9050632911392406	1.397850448474273	0.9975859987929994	1.321730846413741	1.0287277701778386	1.2874207057811278
20	0.8463855421686747	1.3075447797008	0.9755877034358047	1.4686774944208933	0.9535304767652384	1.2816783965224154	0.8488372093023255	1.2583979268646746
21	1.1204819277108433	1.091259177043525	1.2703435804701628	1.3073492230980357	1.0078455039227519	1.3046593103944875	0.7941176470588235	1.1906781093929506
22	0.9246987951807228	1.1699084871007157	1.0235081374321882	1.18340189269145	1.024140012070006	1.2803652014440114	0.9623803009575923	1.1400742897437501
23	0.9006024096385542	1.2190643058864603	0.9213381555153707	1.2266850874366069	1.0187085093542547	1.21930163029822	0.9685362517099864	1.1385859421070088
24	1.1837349397590362	1.1666314325149996	1.0379746835443038	1.190287855491816	0.884127942063971	1.1418231206723772	0.7448700410396717	1.1653761995683505
25	1.0060240963855422	0.9995016486434688	1.1880650994575046	1.2296362143510493	1.0591430295715147	1.1779359853284903	0.872093023255814	1.1765388068439093
26	0.9186746987951807	1.0847050678720922	1.1003616636528029	1.1932389824062584	1.0543150271575137	1.151015486221206	0.993844049247606	1.134865073015156
27	1.0451807228915662	1.1699084871007157	1.0081374321880652	1.163727713261833	1.0531080265540134	1.1884415459557234	1.058139534883721	1.2107708024889565
28	1.1265060240963856	1.215787251300744	1.0669077757685352	1.0319107110834007	0.9770669885334943	1.1628342419268431	0.9404924760601915	1.2204450621277743
29	0.8765060240963856	1.1764625962721484	0.7938517179023508	1.1853693106344116	0.9149064574532287	1.0768199642913736	0.9849521203830369	1.1430509850172326
30	0.5993975903614458	1.173185541686432	0.6374321880650995	1.1440535338322164	0.8273989136994568	1.1483890960643979	0.9220246238030095	1.105842294098703
31	0.7740963855421686	1.0191639761577664	0.8887884267631103	1.053552308455979	0.8937839468919735	1.1411665231331751	0.786593707250342	1.158678635203015
32	0.9397590361445783	1.1207526683149716	1.0786618444846292	1.1184771005737146	0.9462884731442366	1.106366853555466	0.8515731874145007	1.1095631631905558
33	0.8313253012048193	1.0715968495292272	0.9954792043399638	1.2620986104099172	0.9933614966807484	1.1326307551235484	0.9247606019151847	1.068633603180173
34	0.6716867469879518	1.0519345220149292	0.8905967450271248	1.2601311924669554	0.9571514785757392	1.218645032759018	0.9726402188782489	1.1869572403010975
35	0.822289156626506	1.0191639761577664	1.0081374321880652	1.1725810940051606	0.9541339770669885	1.2429391417094942	0.9138166894664843	1.1921664570296917
36	1.033132530120482	1.0748739041149433	1.0262206148282098	1.086014704514847	0.9794809897404949	1.1549550714564183	1.036935704514364	1.2323518432217038
37	0.8554216867469879	1.0650427403577947	0.8499095840867993	1.0023994419389757	0.8980084490042245	1.1293477674275383	1.1662106703146375	1.151236897019309
38	0.7620481927710844	1.091259177043525	0.705244122965642	1.097819212172617	0.7736873868436934	1.128691169888336	0.9658002735978112	1.050773431539279
39	0.7409638554216867	1.1469691050007018	0.6627486437613019	1.1125748467448295	0.7254073627036813	1.0978310855458393	0.7845417236662107	1.0931913391864028
40	0.7831325301204819	1.0715968495292272	0.7956600361663653	1.048633763598575	0.8086904043452021	1.1194988043395073	0.7168262653898769	1.1415626373804915
41	0.8283132530120482	1.1010903408006738	0.864376130198915	1.1558580414899866	0.8382619191309596	1.1746529976324802	0.7763337893296853	1.0664010817250613
42	0.9879518072289156	1.2288954696436092	1.0108499095840868	1.269968282181764	0.9161134580567291	1.1700568148580657	0.8755129958960328	1.1430509850172326
43	0.9246987951807228	1.2714971792579208	0.9981916817359855	1.2512778117236278	0.9824984912492456	1.1470759009859937	0.9616963064295485	1.26509549123001
44	0.7740963855421686	1.205956087543595	0.8670886075949367	1.3545672537291162	0.8901629450814725	1.208796069670987	0.9705882352941176	1.2010965428501388
45	0.7710843373493976	1.205956087543595	0.8182640144665461	1.3398116191569034	0.8177429088714544	1.3243572365705492	0.9220246238030095	1.2249101050379978
46	0.8825301204819277	1.2878824521865022	0.8887884267631103	1.2237339605221644	0.8605914302957152	1.2035432893573708	0.8522571819425444	1.245002798134004
47	0.8463855421686747	1.2583889609150556	0.8887884267631103	1.219799124636241	0.8648159324079662	1.243595739248696	0.93296853625171	1.309001746513875
48	0.9006024096385542	1.0683197949435108	0.833634719710669	1.170613676062199	0.8056729028364514	1.2429391417094942	0.8331053351573188	1.3030483559669102
49	0.7048192771084337	1.025718085329199	0.6455696202531646	1.1273304813170422	0.7368738684369343	1.139196730515569	0.8043775649794802	1.2018407166685094
50	0.6054216867469879	1.0879821224578086	0.5867992766726944	1.1755322209196033	0.6505733252866627	1.1516720837604082	0.7127222982216143	1.1408184635621208
51	0.5903614457831325	1.081428013286376	0.5415913200723327	1.233571050236973	0.5793602896801449	1.1996037041221583	0.5957592339261286	1.173562111570427
52	0.49096385542168675	1.045380412843497	0.530741410488246	1.1381512800033313	0.5304767652383826	1.162177644387641	0.5588235294117647	1.1400742897437501
53	0.5060240963855421	1.1076444499721063	0.5262206148282098	1.1194608095451954	0.5461677730838865	1.1470759009859937	0.5362517099863201	1.1013772511884792
54	0.5843373493975904	1.1535232141721343	0.5578661844484629	1.1243793544025997	0.5588412794206397	1.1037404633986578	0.5595075239398085	1.0619360388148378
55	0.6837349397590361	1.1404149958292693	0.5822784810126582	1.1371675710318505	0.6155703077851539	1.2035432893573708	0.5909712722298222	1.147516027927456
56	0.6656626506024096	1.1862937600292973	0.7567811934900542	1.2129131618358753	0.6819553409776705	1.2009168992005623	0.600547195622435	1.1571902875662738
57	0.7951807228915663	1.1109215045578227	0.9023508137432188	1.1991412362351435	0.7948098974049487	1.1746529976324802	0.6532147742818057	1.0701219508169142
58	0.7439759036144579	1.1338608866578366	0.8047016274864376	1.225701378465126	0.8267954133977067	1.2166752401414116	0.8885088919288646	1.1690970686602034
59	0.7921686746987951	1.0847050678720922	0.8327305605786618	1.1440535338322164	0.8165359082679541	1.1648040345444493	0.8673050615595075	1.1579344613846445
60	0.786144578313253	1.0421033582577806	0.8535262206148282	1.163727713261833	0.8702474351237176	1.1825321681029048	0.8693570451436389	1.123702465739597
61	0.9006024096385542	1.091259177043525	0.9448462929475587	1.0683079430281919	0.9082679541339771	1.1483890960643979	0.8105335157318742	1.143795158835603
62	0.8614457831325302	1.058488631186362	0.9077757685352622	1.024041039311554	0.8913699456849729	1.1109630363298806	0.9062927496580028	1.1140282061007794
63	0.7289156626506024	1.1600773233435668	0.8444846292947559	1.1971738182921816	0.8213639106819554	1.1122762314082846	0.8638850889192886	1.1370975944702677
64	0.6626506024096386	1.1994019783721626	0.8092224231464737	1.2443918489232622	0.7730838865419433	1.1838453631813088	0.8385772913816689	1.2249101050379978
