Position	L1A:Jmjd2a_2a_Ctrl	L1A:Jmjd2a_2a_OHT	L1A:Jmjd2c_2i_ChIP	L1A:Jmjd2c_Serum_ChIP	L1A:Jmjd2c_2i_input	L1A:Jmjd2c_Serum_input	L1Tf:Jmjd2a_2a_Ctrl	L1Tf:Jmjd2a_2a_OHT	L1Tf:Jmjd2c_2i_ChIP	L1Tf:Jmjd2c_Serum_ChIP	L1Tf:Jmjd2c_2i_input	L1Tf:Jmjd2c_Serum_input	L1Gf:Jmjd2a_2a_Ctrl	L1Gf:Jmjd2a_2a_OHT	L1Gf:Jmjd2c_2i_ChIP	L1Gf:Jmjd2c_Serum_ChIP	L1Gf:Jmjd2c_2i_input	L1Gf:Jmjd2c_Serum_input
1	4.1857083461967735	1.3085485303356792	9.52917738026711	17.944017408126584	1.417494681602042	1.8537177541729895	7.8208303600400155	1.4813851972547587	11.70896749457781	20.78551470920384	1.5228791109833502	1.9512485136741975	8.273324034318987	1.6366456825750288	12.592187773759926	21.797923134168336	1.6129957356261964	2.1
2	7.039389599580712	1.8177346075785807	19.500264335504447	37.313642247045756	2.2449353972937636	3.0871016691957514	13.66483421897281	2.0153554535410825	23.704399969172805	42.30925957381363	2.370738960740584	3.2667459373761396	14.200481551443039	2.406831886139748	25.242137876757287	43.93762555092816	2.521725727528279	3.3181818181818183
3	7.8401517281033986	1.8742088073088572	22.36448115887512	44.11047447322342	2.467153664661018	3.3089529590288316	14.338469394328836	1.9886719314695032	25.875237883676647	45.888444409134756	2.466321291934011	3.418945699564011	14.570928896263291	1.8979588587844873	26.705450217438866	46.747810763347076	2.6125987267184874	3.518181818181818
4	8.1683920600654	1.8751270869792682	24.057878650161033	48.0443649647747	2.540720804369631	3.4959028831562975	14.412495237774554	2.029446751713714	26.828232370312563	48.02490358890924	2.5232744944585916	3.514268727705113	14.37026991781899	1.6916589828296515	27.46598755239837	48.33328687981315	2.2036702303625497	3.6818181818181817
5	7.6634069339700135	1.809010950709676	21.946354353757833	43.23254370770642	2.381451739021087	3.3948406676783005	14.462294441547126	2.110396762492663	26.13505007800725	46.63039986389515	2.528722192091377	3.4518430439952437	14.524622978160762	1.85669888359352	28.30354132634112	49.14975961044837	2.1355154809698935	4.027272727272727
6	7.240353068128877	1.8489561163725545	19.977205287690495	39.498643942884826	2.3715922254518915	3.271927162367223	13.644645352578525	2.092707686063189	24.37722540941829	43.04107393588692	2.5118838539536754	3.374355925485533	15.188341137630381	1.8842055337208314	26.45514679074333	46.28261118426421	2.226388480160102	3.8363636363636364
7	7.090403403135245	1.8930335405522827	19.556828761100633	39.831116640728624	2.4481930616433343	3.3338391502276177	12.884198051727067	2.047435642997925	23.42821834741265	41.19870644403838	2.5292174373307215	3.405073325406262	15.049423383322786	1.8979588587844873	25.694609455783826	43.16862216509731	2.3172614793503103	3.3545454545454545
8	6.634370916814411	1.8691582691215969	17.882393207940716	36.50005081199805	2.3609742877619886	3.2959028831562973	12.08909319689875	2.106199354526347	21.930835466516964	38.18949240994741	2.4985122324913824	3.3422512881490287	14.185046245408863	1.8979588587844873	25.76199883989416	42.000876282909715	2.4081344785405183	3.4272727272727272
9	5.997471308800227	1.8815550446721454	15.897496091565346	32.08852795090377	2.401170766159478	3.1678300455235204	11.133150373129284	2.1124954664758206	20.035129851502155	34.440185570773274	2.45790212286516	3.21363456202933	14.123305021272154	1.8429455585298644	23.865469029931848	39.788804815025905	2.6353169765160387	3.4727272727272727
10	5.305435569671547	1.9155313924773523	13.96723506809539	28.48901181228405	2.4512267581261633	3.0907435508345977	10.196386972434393	2.141277692530558	18.18412536523728	30.961997740172674	2.5054456658422013	3.144669044787951	13.212621965255698	1.9254655089117987	21.39131592759523	36.864693175076496	2.4535709781356227	3.090909090909091
